,loss,accuracy,val_loss,val_accuracy,lr,training_time,ranks
0,0.650635,0.669101,0.767253,0.406825,0.001000,6276.512969,1
1,0.497785,0.886130,1.446940,0.491523,0.001000,6276.512969,1
2,0.460074,0.893032,0.596191,0.897008,0.001000,6276.512969,1
3,0.436733,0.893761,0.574707,0.897008,0.001000,6276.512969,1
4,0.415658,0.893929,0.568848,0.897008,0.001000,6276.512969,1
5,0.398246,0.894000,0.511393,0.897008,0.001000,6276.512969,1
6,0.379831,0.894025,0.443278,0.897008,0.001000,6276.512969,1
7,0.357134,0.893910,0.429932,0.897008,0.001000,6276.512969,1
8,0.321568,0.897576,0.488444,0.816880,0.001000,6276.512969,1
9,0.292864,0.899738,0.725911,0.668897,0.001000,6276.512969,1
10,0.262342,0.908999,3.643229,0.232121,0.001000,6276.512969,1
11,0.232614,0.918432,0.696940,0.715554,0.001000,6276.512969,1
12,0.207472,0.925835,0.437744,0.857748,0.001000,6276.512969,1
13,0.184291,0.932877,0.353516,0.897830,0.001000,6276.512969,1
14,0.169865,0.935267,0.343343,0.898237,0.001000,6276.512969,1
15,0.156904,0.937404,0.324951,0.900987,0.001000,6276.512969,1
16,0.137759,0.942916,0.318604,0.898580,0.001000,6276.512969,1
17,0.128836,0.944499,0.312093,0.898399,0.001000,6276.512969,1
18,0.115417,0.947445,0.283447,0.901942,0.001000,6276.512969,1
19,0.103806,0.950091,0.277913,0.903079,0.001000,6276.512969,1
20,0.096202,0.951214,0.251790,0.907784,0.001000,6276.512969,1
21,0.090088,0.952289,0.173218,0.928207,0.001000,6276.512969,1
22,0.082567,0.953992,0.154175,0.933270,0.001000,6276.512969,1
23,0.076104,0.955234,0.134684,0.936040,0.001000,6276.512969,1
24,0.072089,0.955895,0.125610,0.939422,0.001000,6276.512969,1
25,0.068961,0.956258,0.120443,0.940882,0.001000,6276.512969,1
26,0.064476,0.957190,0.096375,0.946644,0.001000,6276.512969,1
27,0.061174,0.957813,0.072734,0.953980,0.001000,6276.512969,1
28,0.059970,0.957573,0.083435,0.950966,0.001000,6276.512969,1
29,0.057441,0.958069,0.124146,0.939515,0.001000,6276.512969,1
30,0.053312,0.959196,0.087870,0.949102,0.001000,6276.512969,1
