,loss,val_loss,lr,training_time,test_time,iou
0,1.111886,0.709527,0.001000,260.630901,0.939596,0.000000
1,0.713146,0.678168,0.001000,260.630901,0.939596,0.000000
2,0.611351,0.668077,0.001000,260.630901,0.939596,0.000000
3,0.556757,0.669434,0.001000,260.630901,0.939596,0.000000
4,0.516416,0.603082,0.001000,260.630901,0.939596,0.000000
5,0.499581,0.517198,0.001000,260.630901,0.939596,0.000000
6,0.484363,0.465875,0.001000,260.630901,0.939596,0.000000
7,0.469843,0.428901,0.001000,260.630901,0.939596,0.000000
8,0.455694,0.396810,0.001000,260.630901,0.939596,0.000000
9,0.441953,0.368354,0.001000,260.630901,0.939596,0.000000
10,0.428455,0.343560,0.001000,260.630901,0.939596,0.000000
11,0.415830,0.318793,0.001000,260.630901,0.939596,0.000000
12,0.402530,0.303304,0.001000,260.630901,0.939596,0.000000
13,0.389602,0.280762,0.001000,260.630901,0.939596,0.000000
14,0.377221,0.264635,0.001000,260.630901,0.939596,0.000000
15,0.365211,0.254137,0.001000,260.630901,0.939596,0.000000
16,0.353376,0.240207,0.001000,260.630901,0.939596,0.000000
17,0.341902,0.240560,0.001000,260.630901,0.939596,0.000000
18,0.330578,0.239746,0.001000,260.630901,0.939596,0.000000
19,0.319278,0.237535,0.001000,260.630901,0.939596,0.000000
20,0.307640,0.221842,0.001000,260.630901,0.939596,0.000000
21,0.294922,0.227634,0.001000,260.630901,0.939596,0.000000
22,0.282692,0.190755,0.001000,260.630901,0.939596,0.000000
23,0.270403,0.207018,0.001000,260.630901,0.939596,0.000000
24,0.260080,0.209256,0.001000,260.630901,0.939596,0.000000
25,0.251686,0.234348,0.001000,260.630901,0.939596,0.000000
26,0.241100,0.236220,0.001000,260.630901,0.939596,0.000000
27,0.231806,0.253662,0.001000,260.630901,0.939596,0.000000
28,0.223389,0.250977,0.001000,260.630901,0.939596,0.000000
29,0.215506,0.229845,0.001000,260.630901,0.939596,0.000000
30,0.208205,0.226305,0.001000,260.630901,0.939596,0.000000
31,0.201358,0.220011,0.001000,260.630901,0.939596,0.000000
32,0.194708,0.202420,0.001000,260.630901,0.939596,0.000000
33,0.188715,0.186361,0.001000,260.630901,0.939596,0.000000
34,0.182693,0.180786,0.001000,260.630901,0.939596,0.000000
35,0.177066,0.180189,0.001000,260.630901,0.939596,0.000000
36,0.171852,0.175429,0.001000,260.630901,0.939596,0.000000
37,0.167138,0.173096,0.001000,260.630901,0.939596,0.000000
38,0.162121,0.166612,0.001000,260.630901,0.939596,0.000000
39,0.157320,0.162123,0.001000,260.630901,0.939596,0.000000
40,0.153030,0.152018,0.001000,260.630901,0.939596,0.000000
41,0.149629,0.163900,0.001000,260.630901,0.939596,0.000000
42,0.145973,0.149712,0.001000,260.630901,0.939596,0.000000
43,0.142328,0.134399,0.001000,260.630901,0.939596,0.000000
44,0.138887,0.140978,0.001000,260.630901,0.939596,0.000000
45,0.135550,0.135620,0.001000,260.630901,0.939596,0.000000
46,0.132644,0.134644,0.001000,260.630901,0.939596,0.000000
47,0.129813,0.135919,0.001000,260.630901,0.939596,0.000000
48,0.127055,0.131802,0.001000,260.630901,0.939596,0.000000
49,0.126093,0.136922,0.001000,260.630901,0.939596,0.000000
50,0.122605,0.130466,0.001000,260.630901,0.939596,0.000000
51,0.119742,0.129768,0.001000,260.630901,0.939596,0.000000
52,0.117202,0.120714,0.001000,260.630901,0.939596,0.000000
53,0.115409,0.122626,0.001000,260.630901,0.939596,0.000000
54,0.113319,0.115044,0.001000,260.630901,0.939596,0.000000
55,0.111311,0.109626,0.001000,260.630901,0.939596,0.000000
56,0.109532,0.110026,0.001000,260.630901,0.939596,0.000000
57,0.108195,0.107374,0.001000,260.630901,0.939596,0.000000
58,0.106434,0.109836,0.001000,260.630901,0.939596,0.000000
59,0.104861,0.105591,0.001000,260.630901,0.939596,0.000000
60,0.103638,0.105021,0.000500,260.630901,0.939596,0.000000
61,0.102769,0.101773,0.000500,260.630901,0.939596,0.000000
62,0.102062,0.101942,0.000500,260.630901,0.939596,0.000000
63,0.101501,0.101766,0.000500,260.630901,0.939596,0.000000
64,0.100630,0.101807,0.000500,260.630901,0.939596,0.000000
65,0.099880,0.101217,0.000500,260.630901,0.939596,0.000000
66,0.099089,0.098687,0.000500,260.630901,0.939596,0.000000
67,0.098380,0.099284,0.000500,260.630901,0.939596,0.000000
68,0.097755,0.098680,0.000500,260.630901,0.939596,0.000000
69,0.097133,0.098246,0.000500,260.630901,0.939596,0.000000
70,0.096607,0.098233,0.000250,260.630901,0.939596,0.000000
71,0.096258,0.097507,0.000250,260.630901,0.939596,0.000000
72,0.095921,0.097473,0.000250,260.630901,0.939596,0.000000
73,0.095572,0.097731,0.000250,260.630901,0.939596,0.000000
74,0.095270,0.096883,0.000250,260.630901,0.939596,0.000000
75,0.094977,0.096653,0.000250,260.630901,0.939596,0.000000
76,0.094663,0.096286,0.000250,260.630901,0.939596,0.000000
77,0.094378,0.096354,0.000250,260.630901,0.939596,0.000000
78,0.094078,0.095723,0.000250,260.630901,0.939596,0.000000
79,0.093826,0.096259,0.000250,260.630901,0.939596,0.000000
