,loss,val_loss,lr,training_time,test_time,iou
0,0.395501,0.387239,0.002667,1037.550159,0.698318,0.913301
1,0.130407,0.231753,0.004333,1037.550159,0.698318,0.913301
2,0.060073,0.161934,0.006000,1037.550159,0.698318,0.913301
3,0.035570,0.212518,0.006000,1037.550159,0.698318,0.913301
4,0.028338,0.102252,0.006000,1037.550159,0.698318,0.913301
5,0.024881,0.245396,0.006000,1037.550159,0.698318,0.913301
6,0.023651,0.043650,0.006000,1037.550159,0.698318,0.913301
7,0.018827,0.018765,0.006000,1037.550159,0.698318,0.913301
8,0.016881,0.047674,0.006000,1037.550159,0.698318,0.913301
9,0.014697,0.022482,0.006000,1037.550159,0.698318,0.913301
10,0.014007,0.016147,0.006000,1037.550159,0.698318,0.913301
11,0.013558,0.016043,0.006000,1037.550159,0.698318,0.913301
12,0.013063,0.017762,0.006000,1037.550159,0.698318,0.913301
13,0.020471,0.543015,0.006000,1037.550159,0.698318,0.913301
14,0.019574,0.031419,0.006000,1037.550159,0.698318,0.913301
15,0.015079,0.018541,0.006000,1037.550159,0.698318,0.913301
16,0.013219,0.015969,0.006000,1037.550159,0.698318,0.913301
17,0.012541,0.015842,0.006000,1037.550159,0.698318,0.913301
18,0.011801,0.014757,0.006000,1037.550159,0.698318,0.913301
19,0.011190,0.014629,0.006000,1037.550159,0.698318,0.913301
20,0.011184,0.014159,0.006000,1037.550159,0.698318,0.913301
21,0.010504,0.016071,0.006000,1037.550159,0.698318,0.913301
22,0.010116,0.014828,0.006000,1037.550159,0.698318,0.913301
23,0.009816,0.014779,0.006000,1037.550159,0.698318,0.913301
24,0.009727,0.015587,0.006000,1037.550159,0.698318,0.913301
