,loss,val_loss,lr,training_time,test_time,iou
0,0.724594,0.659041,0.006000,1824.559811,0.950734,0.149628
1,0.545807,0.660346,0.011000,1824.559811,0.950734,0.149628
2,0.489960,0.655341,0.016000,1824.559811,0.950734,0.149628
3,0.434082,0.553119,0.016000,1824.559811,0.950734,0.149628
4,0.394760,4.244860,0.016000,1824.559811,0.950734,0.149628
5,0.359543,32.921768,0.016000,1824.559811,0.950734,0.149628
6,0.332474,191.567719,0.016000,1824.559811,0.950734,0.149628
7,0.307693,,0.016000,1824.559811,0.950734,0.149628
8,0.285416,,0.016000,1824.559811,0.950734,0.149628
9,0.264603,,0.016000,1824.559811,0.950734,0.149628
10,0.243759,,0.016000,1824.559811,0.950734,0.149628
11,0.221085,,0.016000,1824.559811,0.950734,0.149628
12,0.203300,,0.016000,1824.559811,0.950734,0.149628
13,0.188850,,0.016000,1824.559811,0.950734,0.149628
14,0.169640,,0.016000,1824.559811,0.950734,0.149628
15,0.159203,,0.016000,1824.559811,0.950734,0.149628
16,0.148399,,0.016000,1824.559811,0.950734,0.149628
17,0.136711,,0.016000,1824.559811,0.950734,0.149628
18,0.128605,,0.016000,1824.559811,0.950734,0.149628
19,0.120892,,0.016000,1824.559811,0.950734,0.149628
20,0.120430,,0.016000,1824.559811,0.950734,0.149628
21,0.110096,,0.016000,1824.559811,0.950734,0.149628
22,0.106350,,0.016000,1824.559811,0.950734,0.149628
23,0.101196,,0.016000,1824.559811,0.950734,0.149628
24,0.096603,,0.016000,1824.559811,0.950734,0.149628
25,0.094727,,0.016000,1824.559811,0.950734,0.149628
26,0.091251,,0.016000,1824.559811,0.950734,0.149628
27,0.087437,,0.016000,1824.559811,0.950734,0.149628
28,0.085228,,0.016000,1824.559811,0.950734,0.149628
29,0.082607,,0.016000,1824.559811,0.950734,0.149628
30,0.079807,,0.016000,1824.559811,0.950734,0.149628
31,0.077023,,0.016000,1824.559811,0.950734,0.149628
32,0.075584,,0.016000,1824.559811,0.950734,0.149628
33,0.072678,4987.805664,0.016000,1824.559811,0.950734,0.149628
34,0.071787,4147.069336,0.016000,1824.559811,0.950734,0.149628
35,0.068851,3594.388672,0.016000,1824.559811,0.950734,0.149628
36,0.067659,3315.902832,0.016000,1824.559811,0.950734,0.149628
37,0.065424,3133.833496,0.016000,1824.559811,0.950734,0.149628
38,0.063955,2525.416748,0.016000,1824.559811,0.950734,0.149628
39,0.062254,1372.597168,0.016000,1824.559811,0.950734,0.149628
40,0.060659,1008.968750,0.016000,1824.559811,0.950734,0.149628
41,0.058977,1101.996582,0.016000,1824.559811,0.950734,0.149628
42,0.057817,731.159668,0.016000,1824.559811,0.950734,0.149628
43,0.056929,646.795166,0.016000,1824.559811,0.950734,0.149628
44,0.056667,391.546875,0.016000,1824.559811,0.950734,0.149628
45,0.052902,285.097229,0.016000,1824.559811,0.950734,0.149628
46,0.053879,346.383667,0.016000,1824.559811,0.950734,0.149628
47,0.053921,182.818573,0.016000,1824.559811,0.950734,0.149628
48,0.053478,222.773438,0.016000,1824.559811,0.950734,0.149628
49,0.048939,336.649323,0.016000,1824.559811,0.950734,0.149628
50,0.049843,343.883698,0.016000,1824.559811,0.950734,0.149628
51,0.047523,278.880219,0.016000,1824.559811,0.950734,0.149628
52,0.046534,268.663208,0.016000,1824.559811,0.950734,0.149628
53,0.045973,259.011292,0.016000,1824.559811,0.950734,0.149628
54,0.043768,191.404510,0.016000,1824.559811,0.950734,0.149628
55,0.043455,123.515625,0.016000,1824.559811,0.950734,0.149628
56,0.042412,84.720924,0.016000,1824.559811,0.950734,0.149628
57,0.040449,51.946396,0.016000,1824.559811,0.950734,0.149628
58,0.040133,32.442165,0.016000,1824.559811,0.950734,0.149628
59,0.038576,23.964191,0.016000,1824.559811,0.950734,0.149628
60,0.037800,17.664497,0.008000,1824.559811,0.950734,0.149628
61,0.036955,11.646484,0.008000,1824.559811,0.950734,0.149628
62,0.036278,6.979791,0.008000,1824.559811,0.950734,0.149628
63,0.035536,4.268107,0.008000,1824.559811,0.950734,0.149628
64,0.035299,2.711168,0.008000,1824.559811,0.950734,0.149628
65,0.034347,1.695584,0.008000,1824.559811,0.950734,0.149628
66,0.033978,0.982544,0.008000,1824.559811,0.950734,0.149628
67,0.033463,0.478650,0.008000,1824.559811,0.950734,0.149628
68,0.032757,0.272796,0.008000,1824.559811,0.950734,0.149628
69,0.032168,0.247900,0.008000,1824.559811,0.950734,0.149628
70,0.031649,0.247364,0.004000,1824.559811,0.950734,0.149628
71,0.031256,0.246167,0.004000,1824.559811,0.950734,0.149628
72,0.030911,0.244333,0.004000,1824.559811,0.950734,0.149628
73,0.030643,0.243100,0.004000,1824.559811,0.950734,0.149628
74,0.030346,0.242354,0.004000,1824.559811,0.950734,0.149628
75,0.030001,0.241199,0.004000,1824.559811,0.950734,0.149628
76,0.029707,0.239187,0.004000,1824.559811,0.950734,0.149628
77,0.029407,0.239717,0.004000,1824.559811,0.950734,0.149628
78,0.029083,0.264619,0.004000,1824.559811,0.950734,0.149628
79,0.028741,0.332399,0.004000,1824.559811,0.950734,0.149628
